SOCIETY_CD,SOCIETY_NAME,CREATED_DATE,CREATED_BY
'CSEI','College Student Educators International',sysdate,0
'CIJEP','Company of the International Journal of  Experimental Pathology',sysdate,0
'CLRC','Comparative and Legislative Research Center',sysdate,0
'CSCMP','Council of Supply Chain Management Professionals',sysdate,0
'CIM','Courant Institute of Mathematics',sysdate,0
'CA','CPA Australia',sysdate,0
'CEF','Creative Education Foundation',sysdate,0
'CUT','Curtin University of Technology',sysdate,0
'DSTS','Danish Society for Theoretical Statistics',sysdate,0
'DSI','Decision Sciences Institute',sysdate,0
'IUPS','International Union of Psychological Science',sysdate,0
'IUPAC','International Union of Pure & Applied Chemistry',sysdate,0
'IWA','International Water Association',sysdate,0
'IWSA','International Water Supply Association',sysdate,0
'IXA','International Xenotransplantation Association',sysdate,0
'IRCSOG','IPSA Research Committee on the Structure and Organization of Government',sysdate,0
'JANS','Japan Academy of Nursing Science',sysdate,0
'JAQR','Japan Association for Quaternary Research ',sysdate,0
'JAMS','Japan Association of Mineralogical Sciences',sysdate,0
'JCER','Japan Center for Economic Research',sysdate,0
'JCJF','Japan Chemical Journal Forum',sysdate,0
'JGES','Japan Gastroenterological Endoscopy Society',sysdate,0
'JHCS','Japan Human Cell Society',sysdate,0
'JSOM','Japan Society for Oriental Medicine',sysdate,0
'JSES','Japan Society of Endoscopic Surgery',sysdate,0
'JSH','Japan Society of Hepatology',sysdate,0
'JSOG','Japan Society of Obstetrics and Gynecology',sysdate,0
'JAAM','Japanese Association for Acute Medicine',sysdate,0
'JAA','Japanese Association of Anatomists',sysdate,0
'JCA','Japanese Cancer Association',sysdate,0
'JCS','Japanese Circulation Society',sysdate,0
'JDA','Japanese Dermatological Association',sysdate,0
'JEA','Japanese Economic Association',sysdate,0
'JGS','Japanese Geriatrics Society',sysdate,0
'JGDA','Japanese Group Dynamics Association ',sysdate,0
'JPA','Japanese Psychological Association',sysdate,0
'JRS','Japanese Respiratory Society',sysdate,0
'JSB','Japanese Society for Bacteriology',sysdate,0
'JSFO','Japanese Society for Fisheries Oceanography',sysdate,0
'JSHDR','Japanese Society for Host Defense Research',sysdate,0
'JSV','Japanese Society for Virology ',sysdate,0
'JSAS','Japanese Society of Animal Science',sysdate,0
'JSDB','Japanese Society of Developmental Biologists',sysdate,0
'JSDT','Japanese Society of Dialysis Therapy',sysdate,0
'JSGS','Japanese Society of Grassland Science',sysdate,0
'JSHS','Japanese Society of Hepato-Biliary-Pancreatic Surgery ',sysdate,0
'JSPN','Japanese Society of Psychiatry and Neurology',sysdate,0
